Location	Fish	Latitude	Longitude
"Barwon River, Belmont"	"Snapper, King George Whiting, Garfish, Salmon"	-38.166151	144.349304
"Werribee, Cocoroc"	"Snapper, King George Whiting, Garfish, Salmon"	-37.968668	144.621501
"Inner Harbour, Corio"	"Snapper, King George Whiting, Garfish, Salmon"	-38.116667	144.433333
"Clifton Springs, Curlewis"	"Snapper, King George Whiting, Garfish, Salmon"	-38.151555	144.573861
"Western Shore, Geelong"	"Snapper, King George Whiting, Garfish, Salmon"	-38.14342	144.350541
"Indented Head, Indented Head"	"Snapper, King George Whiting, Garfish, Salmon"	-38.138056	144.71
"Curlewis Bank, Leopold"	"Snapper, King George Whiting, Garfish, Salmon"	-38.166667	144.491667
"Point Henry, Moolap"	"Snapper, King George Whiting, Garfish, Salmon"	-38.146846	144.430196
"Stingray Bay, Moolap"	"Snapper, King George Whiting, Garfish, Salmon"	-38.295833	144.400833
"Barwon River Estuary, Ocean Grove"	"Snapper, King George Whiting, Garfish, Salmon"	-38.261732	144.486791
"Lonsdale Bight, Point Lonsdale"	"Snapper, King George Whiting, Garfish, Salmon"	-38.283333	144.6
"Point Wilson, Point Wilson"	"Snapper, King George Whiting, Garfish, Salmon"	-38.042543	144.525522
"Portarlington, Portarlington"	"Snapper, King George Whiting, Garfish, Salmon"	-38.116667	144.65
"Queenscliff, Queenscliff"	"Snapper, King George Whiting, Garfish, Salmon"	-38.267775	144.62869
"St Leonards, St Leonards"	"Snapper, King George Whiting, Garfish, Salmon"	-38.174543	144.71642
"Swan Bay, Swan Bay"	"Snapper, King George Whiting, Garfish, Salmon"	-38.228611	144.653611
